Time [s],Packet ID,MOSI,MISO
0.000002360000000,,0b  1101  1110,
0.000006320000000,,0b  0100  0011,
0.000010300000000,,0b  1010  1010,
0.000014260000000,,0b  0111  1110,
0.000018220000000,,0b  0100  1001,
0.000022200000000,,0b  1110  1110,
0.000026160000000,,0b  0111  0010,
0.000030140000000,,0b  0110  0111,
0.000034100000000,,0b  0111  0010,
0.000038060000000,,0b  1011  1001,
0.000042020000000,,0b  1001  1011,
0.000046000000000,,0b  1011  1101,
0.000049960000000,,0b  1010  1011,
0.000053940000000,,0b  1001  0010,
0.000057900000000,,0b  1000  1000,
0.000061860000000,,0b  1010  1001,
0.000065820000000,,0b  0100  1000,
0.000069800000000,,0b  0011  0010,
0.000073760000000,,0b  1011  0010,
0.000077720000000,,0b  1110  1100,
0.000081700000000,,0b  1000  1000,
0.000085660000000,,0b  1101  1100,
0.000089620000000,,0b  0001  1110,
0.000093580000000,,0b  0110  0010,
0.000097560000000,,0b  1111  1110,
0.000101520000000,,0b  0101  0101,
0.000105500000000,,0b  1010  1010,
0.000109460000000,,0b  1111  1100,
0.000113420000000,,0b  0110  1110,
0.000117380000000,,0b  0000  0111,
0.000121360000000,,0b  1011  1001,
0.000125320000000,,0b  1010  1111,
0.000129300000000,,0b  1111  1000,
0.000133260000000,,0b  0000  1111,
0.000137220000000,,0b  0011  1011,
0.000141180000000,,0b  1101  0101,
0.000145160000000,,0b  1100  1110,
0.000149120000000,,0b  0011  0011,
0.000153080000000,,0b  0001  0010,
0.000157040000000,,0b  1110  0011,
0.000161020000000,,0b  1001  1001,
0.000164980000000,,0b  1010  0010,
0.000168940000000,,0b  0100  0011,
0.000172900000000,,0b  1100  1000,
0.000176880000000,,0b  0101  1111,
0.000180840000000,,0b  1110  0100,
0.000184820000000,,0b  0101  1010,
0.000188780000000,,0b  1010  0100,
0.000192760000000,,0b  0111  1101,
0.000196720000000,,0b  0001  1110,
0.000200680000000,,0b  1000  0111,
0.000204660000000,,0b  1010  1101,
0.000208620000000,,0b  0110  0011,
0.000212580000000,,0b  1010  0110,
0.000216560000000,,0b  1101  0100,
0.000220520000000,,0b  1001  0100,
0.000224480000000,,0b  1001  0000,
0.000228460000000,,0b  0001  1000,
0.000232420000000,,0b  1011  1011,
0.000236380000000,,0b  0101  1001,
0.000240340000000,,0b  1000  1111,
0.000244320000000,,0b  1101  1011,
0.000248280000000,,0b  0101  1011,
0.000252240000000,,0b  0000  0111,
0.000256220000000,,0b  0100  0001,
0.000260180000000,,0b  0010  0001,
0.000264140000000,,0b  1101  0111,
0.000268120000000,,0b  0001  1101,
0.000272080000000,,0b  0001  0000,
0.000276060000000,,0b  1100  0011,
0.000280020000000,,0b  1000  1111,
0.000283980000000,,0b  1010  0010,
0.000287940000000,,0b  1100  0001,
0.000291920000000,,0b  1110  1111,
0.000295880000000,,0b  1011  0110,
0.000299840000000,,0b  0010  1111,
0.000303800000000,,0b  1001  0010,
0.000307780000000,,0b  0010  1110,
0.000311740000000,,0b  1100  1011,
0.000315720000000,,0b  1011  1110,
0.000319680000000,,0b  1110  1111,
0.000323640000000,,0b  1100  1000,
0.000327600000000,,0b  1100  0010,
0.000331560000000,,0b  0011  1100,
0.000335520000000,,0b  1001  1110,
