Time [s],Packet ID,MOSI,MISO
0.000002480000000,,0b  1101  1110,
0.000006480000000,,0b  0100  0011,
0.000010460000000,,0b  1010  1010,
0.000014420000000,,0b  0111  1110,
0.000018380000000,,0b  0100  1001,
0.000022340000000,,0b  1110  1110,
0.000026320000000,,0b  0111  0010,
0.000030280000000,,0b  0110  0111,
0.000034220000000,,0b  0111  0010,
0.000038180000000,,0b  1011  1001,
0.000042180000000,,0b  1001  1011,
0.000046160000000,,0b  1011  1101,
0.000050100000000,,0b  1010  1011,
0.000054100000000,,0b  1001  0010,
0.000058020000000,,0b  1000  1000,
0.000061980000000,,0b  1010  1001,
0.000065960000000,,0b  0100  1000,
0.000069980000000,,0b  0011  0010,
0.000073880000000,,0b  1011  0010,
0.000077840000000,,0b  1110  1100,
0.000081820000000,,0b  1000  1000,
0.000085780000000,,0b  1101  1100,
0.000089800000000,,0b  0001  1110,
0.000093740000000,,0b  0110  0010,
0.000097680000000,,0b  1111  1110,
0.000101680000000,,0b  0101  0101,
0.000105640000000,,0b  1010  1010,
0.000109580000000,,0b  1111  1100,
0.000113600000000,,0b  0110  1110,
0.000117540000000,,0b  0000  0111,
0.000121560000000,,0b  1011  1001,
0.000125460000000,,0b  1010  1111,
0.000129500000000,,0b  1111  1000,
0.000133460000000,,0b  0000  1111,
0.000137340000000,,0b  0011  1011,
0.000141360000000,,0b  1101  0101,
0.000145300000000,,0b  1100  1110,
0.000149260000000,,0b  0011  0011,
0.000153220000000,,0b  0001  0010,
0.000157160000000,,0b  1110  0011,
0.000161180000000,,0b  1001  1001,
0.000165120000000,,0b  1010  0010,
0.000169100000000,,0b  0100  0011,
0.000173080000000,,0b  1100  1000,
0.000177080000000,,0b  0101  1111,
0.000181080000000,,0b  1110  0100,
0.000184980000000,,0b  0101  1010,
0.000188900000000,,0b  1010  0100,
0.000192920000000,,0b  0111  1101,
0.000196840000000,,0b  0001  1110,
0.000200800000000,,0b  1000  0111,
0.000204860000000,,0b  1010  1101,
0.000208760000000,,0b  0110  0011,
0.000212760000000,,0b  1010  0110,
0.000216680000000,,0b  1101  0100,
0.000220640000000,,0b  1001  0100,
0.000224600000000,,0b  1001  0000,
0.000228680000000,,0b  0001  1000,
0.000232540000000,,0b  1011  1011,
0.000236500000000,,0b  0101  1001,
0.000240480000000,,0b  1000  1111,
0.000244520000000,,0b  1101  1011,
0.000248400000000,,0b  0101  1011,
0.000252360000000,,0b  0000  0111,
0.000256340000000,,0b  0100  0001,
0.000260300000000,,0b  0010  0001,
